Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Hawk Hills Auto,28-Feb-20,-8.9,ACTUAL,100,4.3,ACTUAL,100,-1.7,AGGREGATED,100,65.2,AGGREGATED,100,,MISSING,,,MISSING,,8.5,AGGREGATED,100,1.1,AGGREGATED,100,483.6,AGGREGATED,Computed based on years 1991-2020,-11.9,AGGREGATED,Computed based on years 1991-2020,-18.9,AGGREGATED,Computed based on years 1991-2020,-4.8,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,29-Feb-20,-17.8,ACTUAL,100,-8.5,ACTUAL,100,-14.1,AGGREGATED,100,85.3,AGGREGATED,100,,MISSING,,,MISSING,,10.8,AGGREGATED,100,344,AGGREGATED,100,484.9,AGGREGATED,Computed based on years 1991-2020,-9.2,AGGREGATED,Computed based on years 1991-2020,-15.9,AGGREGATED,Computed based on years 1991-2020,-2.4,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,01-Mar-20,-18.5,ACTUAL,100,-0.7,ACTUAL,100,-8.5,AGGREGATED,100,71.7,AGGREGATED,100,,MISSING,,,MISSING,,9,AGGREGATED,100,223.8,AGGREGATED,100,485.2,AGGREGATED,Computed based on years 1991-2020,-12.2,AGGREGATED,Computed based on years 1991-2020,-19.5,AGGREGATED,Computed based on years 1991-2020,-4.8,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,02-Mar-20,-3.2,ACTUAL,100,1.4,ACTUAL,100,-0.9,AGGREGATED,100,69.9,AGGREGATED,100,,MISSING,,,MISSING,,12.3,AGGREGATED,100,281.1,AGGREGATED,100,485.9,AGGREGATED,Computed based on years 1991-2020,-11.8,AGGREGATED,Computed based on years 1991-2020,-19.5,AGGREGATED,Computed based on years 1991-2020,-4.2,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,03-Mar-20,-2.2,ACTUAL,100,2.2,ACTUAL,100,-0.6,AGGREGATED,100,51.8,AGGREGATED,100,,MISSING,,,MISSING,,6.9,AGGREGATED,100,246.1,AGGREGATED,100,486.3,AGGREGATED,Computed based on years 1991-2020,-11.9,AGGREGATED,Computed based on years 1991-2020,-19,AGGREGATED,Computed based on years 1991-2020,-4.8,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,04-Mar-20,-13,ACTUAL,100,-0.9,ACTUAL,100,-7,AGGREGATED,100,70.8,AGGREGATED,100,,MISSING,,,MISSING,,6.6,AGGREGATED,100,343,AGGREGATED,100,486.7,AGGREGATED,Computed based on years 1991-2020,-12.7,AGGREGATED,Computed based on years 1991-2020,-20.2,AGGREGATED,Computed based on years 1991-2020,-5.2,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,05-Mar-20,-19.9,ACTUAL,100,-12.5,ACTUAL,100,-14.9,AGGREGATED,100,80.6,AGGREGATED,100,,MISSING,,,MISSING,,8.4,AGGREGATED,100,39.5,AGGREGATED,100,487.2,AGGREGATED,Computed based on years 1991-2020,-12.9,AGGREGATED,Computed based on years 1991-2020,-19.6,AGGREGATED,Computed based on years 1991-2020,-6.2,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,06-Mar-20,-25.2,ACTUAL,100,-19.4,ACTUAL,100,-22.4,AGGREGATED,100,76.1,AGGREGATED,100,,MISSING,,,MISSING,,13.1,AGGREGATED,100,338.1,AGGREGATED,100,487.5,AGGREGATED,Computed based on years 1991-2020,-13.2,AGGREGATED,Computed based on years 1991-2020,-20.4,AGGREGATED,Computed based on years 1991-2020,-6,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,07-Mar-20,-22.6,ACTUAL,100,-15.6,ACTUAL,100,-19.7,AGGREGATED,100,71.3,AGGREGATED,100,,MISSING,,,MISSING,,5.3,AGGREGATED,100,178.4,AGGREGATED,100,487.9,AGGREGATED,Computed based on years 1991-2020,-11.9,AGGREGATED,Computed based on years 1991-2020,-19.8,AGGREGATED,Computed based on years 1991-2020,-4.1,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,08-Mar-20,-19,ACTUAL,100,-4.8,ACTUAL,100,-12.6,AGGREGATED,100,60,AGGREGATED,100,,MISSING,,,MISSING,,8.9,AGGREGATED,100,216.1,AGGREGATED,100,488.1,AGGREGATED,Computed based on years 1991-2020,-10.5,AGGREGATED,Computed based on years 1991-2020,-18.9,AGGREGATED,Computed based on years 1991-2020,-2,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,09-Mar-20,-8.8,ACTUAL,100,2.3,ACTUAL,100,-3.1,AGGREGATED,100,38.6,AGGREGATED,100,,MISSING,,,MISSING,,7.3,AGGREGATED,100,227.2,AGGREGATED,100,489.2,AGGREGATED,Computed based on years 1991-2020,-9,AGGREGATED,Computed based on years 1991-2020,-16.1,AGGREGATED,Computed based on years 1991-2020,-1.9,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,10-Mar-20,-3.3,ACTUAL,100,2.5,ACTUAL,100,-0.9,AGGREGATED,100,58.2,AGGREGATED,100,,MISSING,,,MISSING,,8.1,AGGREGATED,100,242.4,AGGREGATED,100,490.7,AGGREGATED,Computed based on years 1991-2020,-9.2,AGGREGATED,Computed based on years 1991-2020,-16,AGGREGATED,Computed based on years 1991-2020,-2.3,AGGREGATED,Computed based on years 1991-2020
