Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Rainbow Lake Auto,18-Aug-20,13.6,ACTUAL,100,20.2,ACTUAL,100,15.8,AGGREGATED,100,96,AGGREGATED,100,4,AGGREGATED,using element [Precip. 1-hr TBRG],4,AGGREGATED,using element [Precip. 1-hr TBRG],2.5,AGGREGATED,100,212.4,AGGREGATED,100,778.7,AGGREGATED,Computed based on years 1991-2020,15,AGGREGATED,Computed based on years 1991-2020,9,AGGREGATED,Computed based on years 1991-2020,20.9,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,19-Aug-20,10,ACTUAL,100,20.8,ACTUAL,100,14.8,AGGREGATED,100,72.8,AGGREGATED,100,4,AGGREGATED,using element [Precip. 1-hr TBRG],0,AGGREGATED,using element [Precip. 1-hr TBRG],4.4,AGGREGATED,100,234.7,AGGREGATED,100,781,AGGREGATED,Computed based on years 1991-2020,13,AGGREGATED,Computed based on years 1991-2020,8,AGGREGATED,Computed based on years 1991-2020,17.9,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,20-Aug-20,8.3,ACTUAL,95.8,16.9,ACTUAL,95.8,12.8,AGGREGATED,95.8,88.2,AGGREGATED,95.8,4.2,AGGREGATED,using element [Precip. 1-hr TBRG],0.2,AGGREGATED,using element [Precip. 1-hr TBRG],2.2,AGGREGATED,95.8,19.3,AGGREGATED,95.8,783.8,AGGREGATED,Computed based on years 1991-2020,12.7,AGGREGATED,Computed based on years 1991-2020,7.4,AGGREGATED,Computed based on years 1991-2020,18,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,21-Aug-20,11.3,ACTUAL,100,15.5,ACTUAL,100,13,AGGREGATED,100,95,AGGREGATED,100,7.8,AGGREGATED,using element [Precip. 1-hr TBRG],3.6,AGGREGATED,using element [Precip. 1-hr TBRG],3.6,AGGREGATED,100,76.5,AGGREGATED,100,784.8,AGGREGATED,Computed based on years 1991-2020,13,AGGREGATED,Computed based on years 1991-2020,7.6,AGGREGATED,Computed based on years 1991-2020,18.4,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,22-Aug-20,11.1,ACTUAL,100,17.6,ACTUAL,100,13.9,AGGREGATED,100,87.5,AGGREGATED,100,11.2,AGGREGATED,using element [Precip. 1-hr TBRG],3.4,AGGREGATED,using element [Precip. 1-hr TBRG],3.4,AGGREGATED,100,91,AGGREGATED,100,785.6,AGGREGATED,Computed based on years 1991-2020,12.7,AGGREGATED,Computed based on years 1991-2020,6.9,AGGREGATED,Computed based on years 1991-2020,18.4,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,23-Aug-20,10.6,ACTUAL,100,14.3,ACTUAL,100,11.9,AGGREGATED,100,97.3,AGGREGATED,100,30.6,AGGREGATED,using element [Precip. 1-hr TBRG],19.4,AGGREGATED,using element [Precip. 1-hr TBRG],1.2,AGGREGATED,100,348.5,AGGREGATED,100,788.2,AGGREGATED,Computed based on years 1991-2020,12.4,AGGREGATED,Computed based on years 1991-2020,7.1,AGGREGATED,Computed based on years 1991-2020,17.7,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,24-Aug-20,6.9,ACTUAL,100,13.5,ACTUAL,100,10.7,AGGREGATED,100,98.3,AGGREGATED,100,34.8,AGGREGATED,using element [Precip. 1-hr TBRG],4.2,AGGREGATED,using element [Precip. 1-hr TBRG],2.3,AGGREGATED,100,119.1,AGGREGATED,100,789.3,AGGREGATED,Computed based on years 1991-2020,12.1,AGGREGATED,Computed based on years 1991-2020,6.5,AGGREGATED,Computed based on years 1991-2020,17.7,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,25-Aug-20,8.9,ACTUAL,100,17,ACTUAL,100,11.9,AGGREGATED,100,89.9,AGGREGATED,100,36.8,AGGREGATED,using element [Precip. 1-hr TBRG],2,AGGREGATED,using element [Precip. 1-hr TBRG],3.4,AGGREGATED,100,223.3,AGGREGATED,100,790.4,AGGREGATED,Computed based on years 1991-2020,12.3,AGGREGATED,Computed based on years 1991-2020,6.7,AGGREGATED,Computed based on years 1991-2020,17.9,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,26-Aug-20,8.3,ACTUAL,100,19.2,ACTUAL,100,12.8,AGGREGATED,100,73.1,AGGREGATED,100,38.2,AGGREGATED,using element [Precip. 1-hr TBRG],1.4,AGGREGATED,using element [Precip. 1-hr TBRG],4.5,AGGREGATED,100,228,AGGREGATED,100,792.4,AGGREGATED,Computed based on years 1991-2020,12.4,AGGREGATED,Computed based on years 1991-2020,6.7,AGGREGATED,Computed based on years 1991-2020,18.1,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,27-Aug-20,9.2,ACTUAL,100,18.1,ACTUAL,100,12.2,AGGREGATED,100,85.3,AGGREGATED,100,39.8,AGGREGATED,using element [Precip. 1-hr TBRG],1.6,AGGREGATED,using element [Precip. 1-hr TBRG],3.4,AGGREGATED,100,256.6,AGGREGATED,100,795.8,AGGREGATED,Computed based on years 1991-2020,11.8,AGGREGATED,Computed based on years 1991-2020,6.3,AGGREGATED,Computed based on years 1991-2020,17.2,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,28-Aug-20,6.7,ACTUAL,100,16.6,ACTUAL,100,10.1,AGGREGATED,100,90.1,AGGREGATED,100,44.6,AGGREGATED,using element [Precip. 1-hr TBRG],4.8,AGGREGATED,using element [Precip. 1-hr TBRG],4.9,AGGREGATED,100,122.1,AGGREGATED,100,797.5,AGGREGATED,Computed based on years 1991-2020,11.8,AGGREGATED,Computed based on years 1991-2020,6.3,AGGREGATED,Computed based on years 1991-2020,17.2,AGGREGATED,Computed based on years 1991-2020
