Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Whitesands Auto,12-Mar-16,-9.4,ACTUAL,100,3.1,ACTUAL,100,-3.6,AGGREGATED,100,90.6,AGGREGATED,100,,MISSING,,,MISSING,,10.7,AGGREGATED,100,145.2,AGGREGATED,100,5.3,AGGREGATED,Computed based on years 1991-2020,-11.8,AGGREGATED,Computed based on years 1991-2020,-18.2,AGGREGATED,Computed based on years 1991-2020,-5.4,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,13-Mar-16,-9.7,ACTUAL,100,-3.6,ACTUAL,100,-7.1,AGGREGATED,100,99.8,AGGREGATED,100,,MISSING,,,MISSING,,10.3,AGGREGATED,100,11.2,AGGREGATED,100,5.8,AGGREGATED,Computed based on years 1991-2020,-12.8,AGGREGATED,Computed based on years 1991-2020,-19.6,AGGREGATED,Computed based on years 1991-2020,-6,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,14-Mar-16,-11.2,ACTUAL,100,-3.2,ACTUAL,100,-8.1,AGGREGATED,100,99.5,AGGREGATED,100,,MISSING,,,MISSING,,1.1,AGGREGATED,100,97.3,AGGREGATED,100,6.7,AGGREGATED,Computed based on years 1991-2020,-11.8,AGGREGATED,Computed based on years 1991-2020,-18.5,AGGREGATED,Computed based on years 1991-2020,-5.1,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,15-Mar-16,-12.2,ACTUAL,100,-3.3,ACTUAL,100,-8,AGGREGATED,100,96.5,AGGREGATED,100,,MISSING,,,MISSING,,2.4,AGGREGATED,75,316.3,AGGREGATED,100,7.1,AGGREGATED,Computed based on years 1991-2020,-11.8,AGGREGATED,Computed based on years 1991-2020,-18.6,AGGREGATED,Computed based on years 1991-2020,-5,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,16-Mar-16,-11.5,ACTUAL,100,-6.8,ACTUAL,100,-9.6,AGGREGATED,100,94,AGGREGATED,100,,MISSING,,,MISSING,,4.4,AGGREGATED,100,318.6,AGGREGATED,100,7.4,AGGREGATED,Computed based on years 1991-2020,-11.8,AGGREGATED,Computed based on years 1991-2020,-19.2,AGGREGATED,Computed based on years 1991-2020,-4.4,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,17-Mar-16,-12.8,ACTUAL,100,-8.7,ACTUAL,100,-10.9,AGGREGATED,100,89.8,AGGREGATED,100,,MISSING,,,MISSING,,5.7,AGGREGATED,100,303.9,AGGREGATED,100,8,AGGREGATED,Computed based on years 1991-2020,-9.9,AGGREGATED,Computed based on years 1991-2020,-16.1,AGGREGATED,Computed based on years 1991-2020,-3.7,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,18-Mar-16,-15.6,ACTUAL,100,-1.1,ACTUAL,100,-9.5,AGGREGATED,100,84.9,AGGREGATED,100,,MISSING,,,MISSING,,2.5,AGGREGATED,100,280.5,AGGREGATED,100,8.8,AGGREGATED,Computed based on years 1991-2020,-10.7,AGGREGATED,Computed based on years 1991-2020,-17.4,AGGREGATED,Computed based on years 1991-2020,-4,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,19-Mar-16,-12.9,ACTUAL,100,-2.8,ACTUAL,100,-9.1,AGGREGATED,100,75,AGGREGATED,100,,MISSING,,,MISSING,,11,AGGREGATED,100,123,AGGREGATED,100,9.3,AGGREGATED,Computed based on years 1991-2020,-10,AGGREGATED,Computed based on years 1991-2020,-16.2,AGGREGATED,Computed based on years 1991-2020,-3.8,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,20-Mar-16,-12.9,ACTUAL,100,-5.6,ACTUAL,100,-9.5,AGGREGATED,100,90.5,AGGREGATED,100,,MISSING,,,MISSING,,19.2,AGGREGATED,100,118.2,AGGREGATED,100,9.8,AGGREGATED,Computed based on years 1991-2020,-9.8,AGGREGATED,Computed based on years 1991-2020,-16.3,AGGREGATED,Computed based on years 1991-2020,-3.4,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,21-Mar-16,-15,ACTUAL,100,-6.3,ACTUAL,100,-11.8,AGGREGATED,100,67.2,AGGREGATED,100,,MISSING,,,MISSING,,21.4,AGGREGATED,100,116.1,AGGREGATED,100,11.1,AGGREGATED,Computed based on years 1991-2020,-9.2,AGGREGATED,Computed based on years 1991-2020,-15.6,AGGREGATED,Computed based on years 1991-2020,-2.7,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,22-Mar-16,-15.2,ACTUAL,100,-4.7,ACTUAL,100,-11,AGGREGATED,100,66.3,AGGREGATED,100,,MISSING,,,MISSING,,14.2,AGGREGATED,100,128.2,AGGREGATED,100,11.7,AGGREGATED,Computed based on years 1991-2020,-8.6,AGGREGATED,Computed based on years 1991-2020,-15.4,AGGREGATED,Computed based on years 1991-2020,-1.8,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,23-Mar-16,-17.3,ACTUAL,100,-4.9,ACTUAL,100,-11.7,AGGREGATED,100,58.3,AGGREGATED,100,,MISSING,,,MISSING,,9,AGGREGATED,100,79.3,AGGREGATED,100,12.3,AGGREGATED,Computed based on years 1991-2020,-9,AGGREGATED,Computed based on years 1991-2020,-15.5,AGGREGATED,Computed based on years 1991-2020,-2.4,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,24-Mar-16,-17.5,ACTUAL,100,-2.7,ACTUAL,100,-10.2,AGGREGATED,100,34.6,AGGREGATED,100,,MISSING,,,MISSING,,9.9,AGGREGATED,100,189.3,AGGREGATED,100,12.5,AGGREGATED,Computed based on years 1991-2020,-8.9,AGGREGATED,Computed based on years 1991-2020,-16.1,AGGREGATED,Computed based on years 1991-2020,-1.8,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,25-Mar-16,-11.3,ACTUAL,100,-2.2,ACTUAL,100,-7.2,AGGREGATED,100,66.2,AGGREGATED,100,,MISSING,,,MISSING,,11.3,AGGREGATED,100,239.2,AGGREGATED,100,13.3,AGGREGATED,Computed based on years 1991-2020,-7.9,AGGREGATED,Computed based on years 1991-2020,-13.8,AGGREGATED,Computed based on years 1991-2020,-2.1,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,26-Mar-16,-12,ACTUAL,100,3.7,ACTUAL,100,-4.4,AGGREGATED,100,71.1,AGGREGATED,100,,MISSING,,,MISSING,,11.4,AGGREGATED,100,215.3,AGGREGATED,100,13.8,AGGREGATED,Computed based on years 1991-2020,-7.5,AGGREGATED,Computed based on years 1991-2020,-14.2,AGGREGATED,Computed based on years 1991-2020,-0.9,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,27-Mar-16,-3.8,ACTUAL,100,7.9,ACTUAL,100,1.1,AGGREGATED,100,46,AGGREGATED,100,,MISSING,,,MISSING,,13.5,AGGREGATED,100,169.3,AGGREGATED,100,14.3,AGGREGATED,Computed based on years 1991-2020,-6.2,AGGREGATED,Computed based on years 1991-2020,-12.6,AGGREGATED,Computed based on years 1991-2020,0.3,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,28-Mar-16,-3.3,ACTUAL,100,6.1,ACTUAL,100,1.3,AGGREGATED,100,53.4,AGGREGATED,100,,MISSING,,,MISSING,,16.8,AGGREGATED,100,248,AGGREGATED,100,14.5,AGGREGATED,Computed based on years 1991-2020,-6.1,AGGREGATED,Computed based on years 1991-2020,-12.2,AGGREGATED,Computed based on years 1991-2020,0.1,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,29-Mar-16,-2.2,ACTUAL,100,10.6,ACTUAL,100,3.3,AGGREGATED,100,46,AGGREGATED,100,,MISSING,,,MISSING,,9.4,AGGREGATED,100,264.4,AGGREGATED,100,14.7,AGGREGATED,Computed based on years 1991-2020,-5.5,AGGREGATED,Computed based on years 1991-2020,-12.2,AGGREGATED,Computed based on years 1991-2020,1.3,AGGREGATED,Computed based on years 1991-2020
