Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Whitesands Auto,01-Mar-19,-34.8,ACTUAL,100,-21.5,ACTUAL,100,-29.1,AGGREGATED,100,61.1,AGGREGATED,100,,MISSING,,,MISSING,,13.2,AGGREGATED,100,337.6,AGGREGATED,87.5,1.1,AGGREGATED,Computed based on years 1991-2020,-15.8,AGGREGATED,Computed based on years 1991-2020,-22.8,AGGREGATED,Computed based on years 1991-2020,-8.8,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,02-Mar-19,-30.6,ACTUAL,100,-14.4,ACTUAL,100,-22.9,AGGREGATED,100,68.3,AGGREGATED,100,,MISSING,,,MISSING,,9.6,AGGREGATED,100,312.9,AGGREGATED,100,1.3,AGGREGATED,Computed based on years 1991-2020,-15.1,AGGREGATED,Computed based on years 1991-2020,-21.3,AGGREGATED,Computed based on years 1991-2020,-8.9,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,03-Mar-19,-23.1,ACTUAL,100,-8.5,ACTUAL,100,-16.6,AGGREGATED,100,66.8,AGGREGATED,100,,MISSING,,,MISSING,,13.1,AGGREGATED,100,301.5,AGGREGATED,100,1.7,AGGREGATED,Computed based on years 1991-2020,-14.7,AGGREGATED,Computed based on years 1991-2020,-20.9,AGGREGATED,Computed based on years 1991-2020,-8.6,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,04-Mar-19,-16.7,ACTUAL,100,-8.8,ACTUAL,100,-13.8,AGGREGATED,100,63.4,AGGREGATED,100,,MISSING,,,MISSING,,19.4,AGGREGATED,100,311.4,AGGREGATED,100,2,AGGREGATED,Computed based on years 1991-2020,-15.6,AGGREGATED,Computed based on years 1991-2020,-22.2,AGGREGATED,Computed based on years 1991-2020,-9,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,05-Mar-19,-18.2,ACTUAL,100,-10,ACTUAL,100,-14.8,AGGREGATED,100,78.9,AGGREGATED,100,,MISSING,,,MISSING,,13,AGGREGATED,100,356.4,AGGREGATED,100,2.3,AGGREGATED,Computed based on years 1991-2020,-16.2,AGGREGATED,Computed based on years 1991-2020,-22.1,AGGREGATED,Computed based on years 1991-2020,-10.2,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,06-Mar-19,-17,ACTUAL,100,-4.2,ACTUAL,100,-11.9,AGGREGATED,100,55.8,AGGREGATED,100,,MISSING,,,MISSING,,15.6,AGGREGATED,100,212.3,AGGREGATED,100,2.8,AGGREGATED,Computed based on years 1991-2020,-17.2,AGGREGATED,Computed based on years 1991-2020,-23.4,AGGREGATED,Computed based on years 1991-2020,-10.9,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,07-Mar-19,-14.5,ACTUAL,100,0.4,ACTUAL,100,-8.2,AGGREGATED,100,42.8,AGGREGATED,100,,MISSING,,,MISSING,,9.8,AGGREGATED,100,241.5,AGGREGATED,100,3.4,AGGREGATED,Computed based on years 1991-2020,-15.2,AGGREGATED,Computed based on years 1991-2020,-21.9,AGGREGATED,Computed based on years 1991-2020,-8.4,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,08-Mar-19,-15.2,ACTUAL,100,-5.5,ACTUAL,100,-11.4,AGGREGATED,100,69,AGGREGATED,100,,MISSING,,,MISSING,,14.4,AGGREGATED,100,317.4,AGGREGATED,100,3.5,AGGREGATED,Computed based on years 1991-2020,-13.8,AGGREGATED,Computed based on years 1991-2020,-21,AGGREGATED,Computed based on years 1991-2020,-6.6,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,09-Mar-19,-14.6,ACTUAL,100,-4.6,ACTUAL,100,-10.8,AGGREGATED,100,76,AGGREGATED,100,,MISSING,,,MISSING,,7.7,AGGREGATED,100,259.3,AGGREGATED,100,3.8,AGGREGATED,Computed based on years 1991-2020,-13.2,AGGREGATED,Computed based on years 1991-2020,-20.3,AGGREGATED,Computed based on years 1991-2020,-6,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,10-Mar-19,-13.4,ACTUAL,100,1.4,ACTUAL,100,-5.3,AGGREGATED,100,54.2,AGGREGATED,100,,MISSING,,,MISSING,,17,AGGREGATED,100,226.3,AGGREGATED,100,4.2,AGGREGATED,Computed based on years 1991-2020,-13.2,AGGREGATED,Computed based on years 1991-2020,-20,AGGREGATED,Computed based on years 1991-2020,-6.4,AGGREGATED,Computed based on years 1991-2020
